全部事件日志消息。
日期:	2013-11-26 05:05:14
系统名称：	120-500702
控制器名称：	192.168.0.5
控制器 ID
	120-500702

RobotWare:	5.15.1091
密码:	lXHHHHQRYDdVLHHHHHnHHLJnHk
选项:	
	RW Control module key
	RobotWare OS and English
	644-5 Chinese
	748-1 DeviceNet Lean
	608-1 World Zones
	616-1 PC Interface
	623-1 Multitasking

DriveModule1
密码:	XqrGAHASUj2r
选项:	
	RW Drive module 1 key
	ABB standard manipulator
		IRB 120
			120-0.58/3
			Drive System 09 120/140/1400/1600/260 Compact
				1-Phase Power Supply
					No additional drive



公用 个日志消息
SeqNo     	类型  	类别                  	代码      	标题                                      	日期                  	说明	自变量
144884    	W   	程序                  	41581   	套接字错误                                   	2013-11-25 13:27:38 	任务： Socket指令在超时期间内未完成。程序引用 /Socket/main/SocketReceive/30	{args: "Socket", "/Socket/main/SocketReceive/30", "ERR_SOCK_TIMEOUT", "-26:1:2::0:60.000000"}
144885    	W   	程序                  	41581   	套接字错误                                   	2013-11-25 13:28:38 	任务： Socket指令在超时期间内未完成。程序引用 /Socket/main/SocketReceive/30	{args: "Socket", "/Socket/main/SocketReceive/30", "ERR_SOCK_TIMEOUT", "-26:1:2::0:60.000000"}
144886    	W   	程序                  	41581   	套接字错误                                   	2013-11-25 13:29:39 	任务： Socket指令在超时期间内未完成。程序引用 /Socket/main/SocketReceive/30	{args: "Socket", "/Socket/main/SocketReceive/30", "ERR_SOCK_TIMEOUT", "-26:1:2::0:60.000000"}
144887    	W   	程序                  	41581   	套接字错误                                   	2013-11-25 13:30:40 	任务： Socket指令在超时期间内未完成。程序引用 /Socket/main/SocketReceive/30	{args: "Socket", "/Socket/main/SocketReceive/30", "ERR_SOCK_TIMEOUT", "-26:1:2::0:60.000000"}
144888    	W   	程序                  	41581   	套接字错误                                   	2013-11-25 13:31:40 	任务： Socket指令在超时期间内未完成。程序引用 /Socket/main/SocketReceive/30	{args: "Socket", "/Socket/main/SocketReceive/30", "ERR_SOCK_TIMEOUT", "-26:1:2::0:60.000000"}
144889    	W   	程序                  	41581   	套接字错误                                   	2013-11-25 13:32:41 	任务： Socket指令在超时期间内未完成。程序引用 /Socket/main/SocketReceive/30	{args: "Socket", "/Socket/main/SocketReceive/30", "ERR_SOCK_TIMEOUT", "-26:1:2::0:60.000000"}
144890    	W   	程序                  	41581   	套接字错误                                   	2013-11-25 13:33:42 	任务： Socket指令在超时期间内未完成。程序引用 /Socket/main/SocketReceive/30	{args: "Socket", "/Socket/main/SocketReceive/30", "ERR_SOCK_TIMEOUT", "-26:1:2::0:60.000000"}
144891    	W   	程序                  	41581   	套接字错误                                   	2013-11-25 13:34:43 	任务： Socket指令在超时期间内未完成。程序引用 /Socket/main/SocketReceive/30	{args: "Socket", "/Socket/main/SocketReceive/30", "ERR_SOCK_TIMEOUT", "-26:1:2::0:60.000000"}
144892    	W   	程序                  	41581   	套接字错误                                   	2013-11-25 13:35:43 	任务： Socket指令在超时期间内未完成。程序引用 /Socket/main/SocketReceive/30	{args: "Socket", "/Socket/main/SocketReceive/30", "ERR_SOCK_TIMEOUT", "-26:1:2::0:60.000000"}
144893    	W   	程序                  	41581   	套接字错误                                   	2013-11-25 13:36:43 	任务： Socket指令在超时期间内未完成。程序引用 /Socket/main/SocketConnect/23	{args: "Socket", "/Socket/main/SocketConnect/23", "ERR_SOCK_TIMEOUT", "-26:1:1:192.168.0.2:11152:60.000000"}
