全部事件日志消息。
日期:	2016-05-17 15:12:14
系统名称：	120-502354
控制器名称：	10.0.0.1
控制器 ID
	120-502354

RobotWare:	5.15.7005
密码:	CMMMMMeiXU2oUMMMMNMMMURMMf#7PTtcqOzSk3
选项:	
	RW Control module key
	RobotWare OS and English
	644-5 Chinese
	748-1 DeviceNet Lean
	608-1 World Zones
	616-1 PC Interface
	623-1 Multitasking

DriveModule1
密码:	9gOUIPIs-eZj
选项:	
	RW Drive module 1 key
	ABB standard manipulator
		IRB 120
			120-0.58/3
			Drive System 09 120/1200/140/1400/260 Compact
				1-Phase Power Supply
					No additional drive



公用 个日志消息
SeqNo     	类型  	类别                  	代码      	标题                                      	日期                  	说明	自变量
870601    	W   	程序                  	41581   	套接字错误                                   	2016-05-17 01:53:29 	任务： Socket指令在超时期间内未完成。程序引用 /Socket/main/SocketReceive/40	{args: "Socket", "/Socket/main/SocketReceive/40", "ERR_SOCK_TIMEOUT", "-26:1:2::0:60.000000"}
870602    	W   	程序                  	41581   	套接字错误                                   	2016-05-17 01:54:30 	任务： Socket指令在超时期间内未完成。程序引用 /Socket/main/SocketReceive/40	{args: "Socket", "/Socket/main/SocketReceive/40", "ERR_SOCK_TIMEOUT", "-26:1:2::0:60.000000"}
870603    	W   	程序                  	41581   	套接字错误                                   	2016-05-17 01:55:31 	任务： Socket指令在超时期间内未完成。程序引用 /Socket/main/SocketReceive/40	{args: "Socket", "/Socket/main/SocketReceive/40", "ERR_SOCK_TIMEOUT", "-26:1:2::0:60.000000"}
870604    	W   	程序                  	41581   	套接字错误                                   	2016-05-17 01:56:31 	任务： Socket指令在超时期间内未完成。程序引用 /Socket/main/SocketReceive/40	{args: "Socket", "/Socket/main/SocketReceive/40", "ERR_SOCK_TIMEOUT", "-26:1:2::0:60.000000"}
870605    	W   	程序                  	41581   	套接字错误                                   	2016-05-17 01:57:32 	任务： Socket指令在超时期间内未完成。程序引用 /Socket/main/SocketReceive/40	{args: "Socket", "/Socket/main/SocketReceive/40", "ERR_SOCK_TIMEOUT", "-26:1:2::0:60.000000"}
870606    	W   	程序                  	41581   	套接字错误                                   	2016-05-17 01:58:33 	任务： Socket指令在超时期间内未完成。程序引用 /Socket/main/SocketReceive/40	{args: "Socket", "/Socket/main/SocketReceive/40", "ERR_SOCK_TIMEOUT", "-26:1:2::0:60.000000"}
870607    	W   	程序                  	41581   	套接字错误                                   	2016-05-17 01:59:33 	任务： Socket指令在超时期间内未完成。程序引用 /Socket/main/SocketReceive/40	{args: "Socket", "/Socket/main/SocketReceive/40", "ERR_SOCK_TIMEOUT", "-26:1:2::0:60.000000"}
870608    	W   	程序                  	41581   	套接字错误                                   	2016-05-17 02:00:34 	任务： Socket指令在超时期间内未完成。程序引用 /Socket/main/SocketReceive/40	{args: "Socket", "/Socket/main/SocketReceive/40", "ERR_SOCK_TIMEOUT", "-26:1:2::0:60.000000"}
870609    	W   	程序                  	41581   	套接字错误                                   	2016-05-17 02:01:35 	任务： Socket指令在超时期间内未完成。程序引用 /Socket/main/SocketReceive/40	{args: "Socket", "/Socket/main/SocketReceive/40", "ERR_SOCK_TIMEOUT", "-26:1:2::0:60.000000"}
870610    	W   	程序                  	41581   	套接字错误                                   	2016-05-17 02:02:36 	任务： Socket指令在超时期间内未完成。程序引用 /Socket/main/SocketReceive/40	{args: "Socket", "/Socket/main/SocketReceive/40", "ERR_SOCK_TIMEOUT", "-26:1:2::0:60.000000"}
